ID_Joueur;Poste;Period Name;Date;Jour;Unnamed: 5;TAGS;Semaine;Nombre de sance;Period Number;TDJ;MinutesJoues;Duration;Dure;Dist;Distance - Z1;Distance - Z1-2;Distance - Z1-3;Distance - Z1-3/min;Distance - Z2;Distance - Z2-4;Distance - Z2-6;Distance - Z3;Distance - Z3-6;Distance - Z4;HID 16;Distance - Z4-6/min;Distance - Z5;HID 21;Distance - Z5-6/min;Sup 24;% Marche;Running (Z3-4);Jogging & Walking (Z1-2);High Speed Running (Z5-6);High Speed Running (Z4-6);Speed - Avg;Speed - Avg (m/min);Speed - Avg (yard/min);%Vmax;Vmax;Speed Exertion;Speed Exertion /min;Accel Load;Accel Load - Density;Accel Load.1;Accel - Z1;Accel - Z1-3;Accel - Z1-3/min;Accel - Z2;Accel - Z2-3;Accel - % Z2-3;Accel - Z2-3/min;Accel - Z3;Accel - % Z3;Decel - Z1;Decel - Z1-3;Decel - Z1-3/min;Decel - Z2;Decel - Z2-3;Decel Z2-3/min;Decel - Z3;HR Exertion;HML Dist;% HMLD;Met. Load - Distance;Collisions;Running Imbalance
1234;;VITESSE;;;;;;;9;0,005;7,52;00:07:31;;364,01;149,08;207,46;272,75;36,26;58,38;174,84;214,85;65,29;156,47;51,17;91,18;12,12;35,89;40,01;5,32;4,12;40,95;116,46;207,46;40,01;91,18;2,9;48,39;52,92;297,97;24,91;3,84;0,51;135;0,3;3,71;7;8;1,06;1;1;12,5;0,13;0;0;6;10;1,33;4;4;0,53;0;451;121,77;33,45;363,92;0;0
1235;;VITESSE;;;;;;;9;0,005;7,52;00:07:31;;695,85;292,34;439,41;503,43;66,93;147,07;306,16;401,9;64,02;254,83;95,07;190,81;25,37;77,88;95,74;12,73;17,86;42,01;159,09;439,41;95,74;190,81;5,55;92,51;101,17;305,67;25,3;5,98;0,8;177,69;0,39;2,55;8;8;1,06;0;0;0;0;0;0;2;3;0,4;1;1;0,13;0;451;200,98;28,88;695,23;0;0,22
1236;;JEU;;;;;;;10;0,003;5;00:05:00;;507,47;254,87;399,4;482,59;96,52;144,53;252,6;252,6;83,19;108,07;24,88;24,88;4,98;0;0;0;0;50,22;108,07;399,4;0;24,88;6,09;101,49;111;253,71;20,72;3,07;0,61;236,65;0,79;4,66;12;12;2,4;0;0;0;0;0;0;10;10;2;0;0;0;0;300;123,72;24,38;507,47;2;-1,17
1237;;JEU;;;;;;;10;0,003;5;00:05:00;;515,64;285,49;425,1;492,26;98,45;139,61;229,62;230,19;67,16;90,58;22,85;23,42;4,68;0,57;0,57;0,11;0;55,37;90,01;425,1;0,57;23,42;6,19;103,13;112,78;209,03;20,9;3,39;0,68;232,09;0,77;4,5;5;5;1;0;0;0;0;0;0;6;10;2;4;4;0,8;0;300;117,79;22,84;515,69;0;-0,81
1238;;JEU;;;;;;;10;0,003;5;00:05:00;;602,45;251,07;438,36;539,2;107,84;187,29;345,25;351,37;100,84;164,08;57,12;63,24;12,65;6,12;6,12;1,22;0;41,67;157,96;438,36;6,12;63,24;7,23;120,49;131,77;305,69;22,93;4,8;0,96;247,27;0,82;4,1;8;8;1,6;0;0;0;0;0;0;7;10;2;2;3;0,6;1;300;157,52;26,15;602,45;1;0
1239;;JEU;;;;;;;10;0,003;5;00:05:00;;540,96;243,06;426,3;517,82;103,56;183,24;297,88;297,88;91,52;114,64;23,12;23,12;4,62;0;0;0;0;44,93;114,64;426,3;0;23,12;6,49;108,19;118,32;226,08;17,58;4,37;0,87;234,85;0,78;4,34;5;5;1;0;0;0;0;0;0;11;11;2,2;0;0;0;0;299,99;130,81;24,18;540,94;0;-3,67
1240;;JEU;;;;;;;10;0,003;5;00:05:00;;511,46;243,29;443,3;506,28;101,26;200,01;267,61;267,61;62,98;67,6;4,62;4,62;0,92;0;0;0;0;47,57;67,6;443,3;0;4,62;6,14;102,29;111,87;231;17,33;3,41;0,68;240,64;0,8;4,71;2;2;0,4;0;0;0;0;0;0;6;6;1,2;0;0;0;0;299,99;94,3;18,44;511,48;1;-5,06
1241;;JEU;;;;;;;10;0,003;5;00:05:00;;550,52;256,45;429,4;522,17;104,43;172,95;280,83;294,06;92,77;121,11;15,11;28,34;5,67;13,23;13,23;2,65;0;46,58;107,88;429,4;13,23;28,34;6,61;110,1;120,41;268,05;23,83;4,03;0,81;201,75;0,67;3,66;4;4;0,8;0;0;0;0;0;0;6;6;1,2;0;0;0;0;300;112,61;20,46;550,51;0;0
1242;;JEU;;;;;;;10;0,003;5;00:05:00;;498,31;259,1;426,06;470,75;94,15;166,96;239,17;239,17;44,69;72,21;27,52;27,52;5,5;0;0;0;0;52;72,21;426,06;0;27,52;5,98;99,66;108,99;274,93;20,54;2,82;0,56;192,05;0,64;3,85;0;0;0;0;0;0;0;0;0;2;2;0,4;0;0;0;0;300;85,98;17,25;498,27;0;8,17
1243;;JEU;;;;;;;10;0,003;5;00:05:00;;467,23;278,43;438,5;462,01;92,4;160,07;188,8;188,8;23,51;28,73;5,22;5,22;1,04;0;0;0;0;59,59;28,73;438,5;0;5,22;5,61;93,45;102,19;207,59;17,88;2,99;0,6;205,33;0,68;4,39;1;1;0,2;0;0;0;0;0;0;3;4;0,8;1;1;0,2;0;300;64,95;13,9;467,23;0;0
